filename,category,year,month,day,original source,page number,author first name,author last name,database,troop 53,troop 253,pack 253,ship 153,archive.org url,title,tags
knickerbocker_news_1969_sep_24_t253_clam_bake.pdf,newspapers,1969,9,24,The Knickerbocker News,7B,,,fultonhistory.com,,X,,,,Out Your Way,clambake
chatham_courier_1969_sep_25_t253_paper_drive.pdf,newspapers,1969,9,25,The Chatham Courier,B8,,,fultonhistory.com,,X,,,,Schodack Scouts State Clambake,"paper drive,clambake"
chatham_courier_1969_oct_2_t253_paper_drive.pdf,newspapers,1969,10,2,The Chatham Courier,B6,,,fultonhistory.com,,X,,,,Paper Drive,paper drive
chatham_courier_1969_dec_11_t53_eagles.pdf,newspapers,1969,12,11,The Chatham Courier,A10,,,fultonhistory.com,X,,,,,Castleton Area News,"eagle scout,michael corey,thomas sparks"
chatham_courier_1970_may_14_t253_paper_drive.pdf,newspapers,1970,5,14,The Chatham Courier,A10,,,fultonhistory.com,,X,,,,Scout Paper Drive,paper drive
knickerbocker_news_1970_oct_1_t253_paper_drive.pdf,newspapers,1970,10,1,The Knickerbocker News,8D,,,fultonhistory.com,,X,,,,Boy Scout Troop 253 will have a Paper Drive,paper drive
knickerbocker_news_1970_oct_2_t253_paper_drive.pdf,newspapers,1970,10,2,The Knickerbocker News,11C,,,fultonhistory.com,,X,,,,Boy Scout Troop 253 will have a Paper Drive,paper drive
chatham_courier_1970_nov_5_t253_flag_guard.pdf,newspapers,1970,11,5,The Chatham Courier,A5,,,fultonhistory.com,,X,,,,"South Schodack Dedicates New $63,000 Fire Station","south schodack fire house,honor guard,donald shields"
chatham_courier_1970_nov_12_koss_religious_award.pdf,newspapers,1970,11,12,The Chatham Courier,A10,,,fultonhistory.com,,X,,,https://archive.org/details/chatham_courier_1970_nov_12_koss_religious_award,Scout Honored,"robert koss,god and country award,trinity lutheran church"
chatham_courier_1971_july_1_soar.pdf,newspapers,1971,7,1,The Chatham Courier,10,,,fultonhistory.com,X,,,,,SOAR Project,"SOAR,save our american resources,paul k albertine,don smith,david corey,robert jenkins,paul d albertine,andrew smith,stu mcknight,donald mcknight,george folmsbee,ralph kahler,scott van nederynen,jeff van nederynen,michael corey,stratton mountain scout reservation,route 9j"
knickerbocker_news_1972_feb_21_klondike_derby.pdf,newspapers,1972,2,21,The Knickerbocker News,4B,,,fultonhistory.com,X,X,,,,Briefs From Suburbia,"paul albertine,flaming arrows patrol,earl simpson,pickled herring patrol,klondike derby,lawson lake,trinity camp"
troy_times_record_1973_jun_20_t253_koss_eagle.pdf,newspapers,1973,6,20,The Times Record,23,,,fultonhistory.com,,X,,,https://archive.org/details/troy_times_record_1973_jun_20_t253_koss_eagle,Robert Koss Becomes Eagle Scout,"robert koss,eagle,maple hill,scout schodack,normal beaudry,thomas koss"
chatham_courier_1973_nov_8_tree_funds.pdf,newspapers,1973,11,8,The Chatham Courier,B10,,,fultonhistory.com,X,,,,,Scout Troop Seeks Funds To Buy Trees,"michael corey,beautification,castleton beautification fund"
chatham_courier_1974_nov_21_t253_newspaper_drive.pdf,newspapers,1974,11,21,The Chatham Courier,A10,,,fultonhistory.com,,X,,,,Paper Drive,paper drive
chatham_courier_1975_dec_11_new_flag.pdf,newspapers,1975,12,11,The Chatham Courier,A5,,,fultonhistory.com,X,,,,,Castleton Names New Fire Chief,"michael corey,flag,certificate of appreciation"
